date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:08:19	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f7bc6b3-239b%22	https://eduar2tc.github.io/robots.txt		(from )
15:08:19	19332/19332	---M-Z	200	added ('OK')	text/html	etag:W/%226235ae13-4b84%22	https://eduar2tc.github.io/vaccine-covid/	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/index.html	(from )
15:08:20	4141/4141	---M--	200	added ('OK')	image/png	etag:%226235ae12-102d%22	https://eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-57x57.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-57x57.png	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:20	4352/4352	---M--	200	added ('OK')	image/png	etag:%226235ae12-1100%22	https://eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-60x60.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-60x60.png	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:20	5354/5354	---M--	200	added ('OK')	image/png	etag:%226235ae12-14ea%22	https://eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-72x72.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-72x72.png	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:20	5787/5787	---M--	200	added ('OK')	image/png	etag:%226235ae12-169b%22	https://eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-76x76.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-76x76.png	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:21	9796/9796	---M--	200	added ('OK')	image/png	etag:%226235ae12-2644%22	https://eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-114x114.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-114x114.png	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:21	10545/10545	---M--	200	added ('OK')	image/png	etag:%226235ae12-2931%22	https://eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-120x120.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-120x120.png	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:21	13587/13587	---M--	200	added ('OK')	image/png	etag:%226235ae12-3513%22	https://eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-144x144.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-144x144.png	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:22	14554/14554	---M--	200	added ('OK')	image/png	etag:%226235ae12-38da%22	https://eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-152x152.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-152x152.png	(from https://eduar2tc.github.io/vaccine-covid/)
